Hotel_Name,Hotel_Rating,City,Hotel_Price,Feature
Montecello Home Stay,3.2,trivandrum,643.0,"Free Wi-Fi,Paid parking,Pet-friendly,Beach access,Kitchen,Full-service laundry,Kid-friendly,0,0"
HOTEL HIGHLAND,4.0,trivandrum,1350.0,"3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry"
Ariya Nivaas - A Vegetarian Hotel,4.2,trivandrum,2401.0,"2-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Full-service laundry,Accessible,Kid-friendly"
PLANET RESIDENCY,4.5,trivandrum,1263.0,"Free Wi-Fi,Paid parking,Air conditioning,Breakfast,Kitchen,0,0,0,0"
Saras Park Inn,3.4,trivandrum,875.0,"2-star hotel,Air conditioning,Kitchen,Full-service laundry,Kid-friendly,0,0,0,0"
Stayzone Royal INN,3.7,trivandrum,909.0,"Breakfast,Free Wi-Fi,Free parking,Air conditioning,Room service,Kitchen,Airport shuttle,Full-service laundry,Kid-friendly"
Hotel Prathiba Heritage,3.7,trivandrum,956.0,"Free Wi-Fi,Free parking,Air conditioning,Restaurant,Full-service laundry,Kid-friendly,Smoke-free,0,0"
Adara Residency,4.3,trivandrum,1616.0,"0,0,0,0,0,0,0,0,0"
Hotel Venkateswara,3.7,trivandrum,1347.0,"3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible"
Hilton Garden Inn Trivandrum,4.3,trivandrum,6837.0,"5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant"
KTDC Grand Chaithram,4.1,trivandrum,2509.0,"3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible"
Majestic Lodge,4.1,trivandrum,1236.0,"Free breakfast,Free Wi-Fi,Paid parking,Kitchen,0,0,0,0,0"
Safire Residency,4.0,trivandrum,1165.0,"3-star hotel,Wi-Fi,Air conditioning,Pet-friendly,Kitchen,Airport shuttle,Full-service laundry,Kid-friendly,0"
Hotel Sunday - Townhouse Club - Near Airport - Trivandrum,3.7,trivandrum,1120.0,"Breakfast,Free Wi-Fi,Free parking,Kitchen,Airport shuttle,Full-service laundry,0,0,0"
Meghna Residency,3.6,trivandrum,831.0,"3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Room service,Airport shuttle,Full-service laundry,Accessible"
The South Gate By WB Hotels,3.9,trivandrum,2111.0,"Free breakfast,Free Wi-Fi,Air conditioning,Room service,Full-service laundry,Kid-friendly,0,0,0"
Anies Garden | Rooms in a Homestay,4.3,trivandrum,1645.0,"Sleeps 5,2 bedrooms,Air conditioning,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No crib,No elevator"
Treebo Trend Goodland Residency,4.1,trivandrum,4265.0,"3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Restaurant,Room service,Airport shuttle"
Windsor Rajadhani,4.1,trivandrum,4341.0,"4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa"
Backwater Ripples,4.4,kumarakom,8968.0,"3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant"
Lakesong Resort,4.2,kumarakom,11948.0,"4-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant"
Abad Whispering Palms | Resort in Kumarakom,4.3,kumarakom,6921.0,"4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant"
Cocobay Resort,4.2,kumarakom,6138.0,"3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant"
Paradise Resorts Kumarakom,4.1,kumarakom,5148.0,"3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Spa,Restaurant,Airport shuttle"
"The Zuri Kumarakom, Kerala Resort & Spa",4.3,kumarakom,13682.0,"5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa"
Saro Lake County,4.0,kumarakom,2945.0,"3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Kitchen,Airport shuttle"
Kumarakom Heritage Resort & Ayurveda,4.1,kumarakom,5355.0,"3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Spa,Bar,Restaurant"
Rhythm Kumarakom,4.5,kumarakom,14712.0,"5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant"
Manor Backwater Resort,3.8,kumarakom,3024.0,"3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Kitchen,Full-service laundry"
ILLIKKALAM Lakeside Cottages,4.1,kumarakom,3549.0,"3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Restaurant,Room service,Kitchen"
KTDC Waterscapes,4.5,kumarakom,10560.0,"4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar"
Backwater Brook,4.7,kumarakom,5063.0,"Free breakfast,Free Wi-Fi,Pool,Restaurant,Kitchen,Full-service laundry,Kid-friendly,0,0"
Gokulam Grand Resort and Spa Kumarakom,4.7,kumarakom,14059.0,"Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,Room service"
Backwater Ripples,4.4,kumarakom,8961.0,"3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant"
Lily Pad on the Vembanad,4.2,kumarakom,6160.0,"3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Spa,Restaurant,Room service"
Kumarakom Lake Resort,4.8,kumarakom,30267.0,"5-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa"
Renai Green Fields,3.8,kumarakom,2849.0,"3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service"
Kumarakom Park Resort,4.3,kumarakom,6726.0,"Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Bar,Restaurant,Room service,Full-service laundry"
Meenakshi River Villa | Rooms & Wi-Fi,4.5,kumarakom,3488.0,"Sleeps 6,2 bedrooms,Air conditioning,Fireplace,Paid parking,Free Wi-Fi,No crib,No elevator,No fitness center"
Kumarakom Wood Castle,4.4,kumarakom,2861.0,"Sleeps 3,1 bedroom,Air conditioning,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No crib,No elevator"
Abad Whispering Palms | Resort in Kumarakom,4.3,kumarakom,7999.0,"4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant"
ILLIKKALAM Lakeside Cottages,4.1,kumarakom,3724.0,"3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Restaurant,Room service,Kitchen"
Treebo Trend Kuval Inn,4.2,pune,2084.0,"Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Full-service laundry,Kid-friendly,0,0"
Hotel Corporate Stay,4.0,pune,2123.0,"3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle"
Jugglers Backpack,4.7,pune,1116.0,"Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Room service,Kitchen,Airport shuttle,Full-service laundry,Business center"
Hyatt Pune,4.4,pune,9701.0,"5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar"
"The Central Park Hotel, Pune",4.1,pune,3708.0,"4-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant"
"Four Points by Sheraton Hotel & Serviced Apartments, Pune",4.3,pune,6796.0,"5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar"
Hotel Phoenix,4.0,pune,2752.0,"3-star hotel,Free breakfast,Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry"
Hotel anvisha executive,4.4,pune,1067.0,"0,0,0,0,0,0,0,0,0"
EMA Family Rooms,3.8,pune,1241.0,"Sleeps 6,2 bedrooms,Air conditioning,Fireplace,Kitchen,Cable TV,Paid parking,Free Wi-Fi,No crib"
JM Four Hotel,3.9,pune,2550.0,"3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry"
Royal Orchid Central Pune,4.3,pune,5085.0,"4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant"
"StayBird - B Suite, Business Hotel",4.0,pune,2512.0,"3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle"
Hotel Sardar,3.5,pune,1344.0,"3-star hotel,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,Kid-friendly"
Sunny's World,4.2,pune,4549.0,"Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Kitchen,Full-service laundry,Accessible"
Procida Hostel by Zero Jhanjhat,4.4,pune,921.0,"Breakfast,Free Wi-Fi,Pool,Restaurant,Full-service laundry,0,0,0,0"
The Oakwood,4.0,pune,3333.0,"4-star hotel,Free breakfast,Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry"
Sheraton Grand Pune Bund Garden Hotel,4.5,pune,9435.0,"5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa"
Pratikruti The Lakeview Resort,4.2,pune,1284.0,"3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Restaurant,Room service"
Hotel Centro,4.4,pune,2607.0,"Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,Kid-friendly"
St Laurn Hotel,3.9,pune,4381.0,"4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Bar,Restaurant,Room service"
Cherry Tree | Rooms & Wi-Fi,3.6,pune,1588.0,"Sleeps 3,1 bedroom,Air conditioning,Fireplace,Free parking,Free Wi-Fi,No crib,No elevator,No fitness center"
Fairfield by Marriott Pune Kharadi,4.3,pune,7280.0,"4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Bar,Restaurant,Room service"
Sunny's World,4.2,pune,4549.0,"Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Kitchen,Full-service laundry,Accessible"
Novotel Chennai Sipcot,4.7,chennai,5145.0,"5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant"
Park Plaza Chennai OMR,4.1,chennai,4704.0,"5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar"
Avenue 11 Boutique Residences | Rooms & Caretaker,4.0,chennai,3853.0,"Sleeps 8,3 bedrooms,Air conditioning,Fireplace,Paid parking,Free Wi-Fi,No crib,No elevator,No fitness center"
"Olive Inn Luxurious 4-BHK Villa with Indoor Swimming Pool, Wifi, BBQ",3.4,chennai,9753.0,"Villa,Sleeps 10,4 bedrooms,7 bathrooms,Air conditioning,Pool,Kitchen,Smoke-free,Free parking"
Juhu Beach House ECR,4.5,chennai,4965.0,"Free Wi-Fi,Free parking,Pool,Air conditioning,Beach access,Kitchen,Full-service laundry,0,0"
Umino Beach Resort Banquet Hall and Restaurant,4.3,chennai,3677.0,"Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Beach access,Restaurant,Room service,Full-service laundry"
VGP Golden Beach Resort,3.9,chennai,4267.0,"2-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Spa,Beach access"
"Regenta Central RS, Chennai(OMR). 4 Star Hotel",4.2,chennai,3366.0,"Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,Room service"
Turyaa Chennai,4.3,chennai,3797.0,"5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar"
Blue Lagoon Beach Resort,3.9,chennai,6402.0,"3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry"
Fairfield by Marriott Chennai OMR,4.2,chennai,3707.0,"4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Bar,Restaurant,Room service"
Four Points by Sheraton Chennai OMR,4.2,chennai,5053.0,"4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service"
"Taj Club House, Chennai",4.4,chennai,7552.0,"5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa"
"Vivanta Chennai, IT Expressway",4.3,chennai,5485.0,"5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa"
Ilara Hotels & Spa,4.6,chennai,4234.0,"3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Spa,Restaurant,Room service"
Maroma Suites,4.5,chennai,3795.0,"Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Airport shuttle,Full-service laundry,Accessible"
The Madras Grand - Hotel Egmore,4.5,chennai,4974.0,"Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Airport shuttle,Full-service laundry"
"Holiday Inn Express Chennai Omr Thoraipakkam, an IHG Hotel",4.1,chennai,3859.0,"2-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Airport shuttle"
"Crowne Plaza New Delhi Rohini, an IHG Hotel",4.4,delhi,7825.0,"4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa"
ट्राइडेंट होटल,4.6,delhi,12272.0,"5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa"
Nu Delhi Homestay - Deluxe Double Room,4.6,delhi,1999.0,"House,Sleeps 2,1 bedroom,1 bathroom,2 beds,Air conditioning,Crib,Fitness center,Heating"
The Leela Ambience Convention Hotel Delhi,4.5,delhi,9809.0,"5-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa"
Hotel City Park- Hotels in Delhi,4.2,delhi,5376.0,"4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa"
Hotel Mayda Residency By Mayda Hospitality Pvt. Ltd.,4.6,delhi,1212.0,"Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Accessible"
JRD Pride,4.4,delhi,4720.0,"3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry"
Radisson Blu Hotel New Delhi Paschim Vihar,4.4,delhi,7285.0,"5-star hotel,Breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Fitness center,Spa,Bar"
IIDL Suites,4.3,delhi,5720.0,"5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa"
Park Inn by Radisson New Delhi IP Extension,4.3,delhi,6828.0,"4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant"
IIDL Suites,3.8,delhi,6163.0,"Apartment,Sleeps 10,Air conditioning,Airport shuttle,Elevator,Fireplace,Fitness center,Hot tub,Kitchen"
"Welcomhotel By ITC Hotels, Dwarka, New Delhi - Contemporary Hotel in the Capital | Ideal for Business & Leisure Travellers",4.5,delhi,8141.0,"5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar"
Sarovar Portico Naraina,3.9,delhi,4536.0,"3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle"
Hyatt Centric Janakpuri New Delhi,3.8,delhi,7484.0,"5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar"
"Taj Palace, New Delhi",4.7,delhi,15050.0,"5-star hotel,Breakfast,Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa"
The Pamposh,3.7,delhi,3931.0,"3-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Restaurant,Full-service laundry,Business center,Kid-friendly,0"
Caves by Craftels,4.7,delhi,5040.0,"Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Spa,Restaurant,Room service"
Bloomrooms @ Janpath,4.4,delhi,6451.0,"3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Full-service laundry"
Ramada by Wyndham New Delhi Pitampura,3.9,delhi,6305.0,"4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Accessible"
Bloom Boutique | GK-1,4.2,delhi,4659.0,"3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry"
The Grand Parisian,4.2,delhi,4673.0,"3-star hotel,Free breakfast,Wi-Fi,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,0"
amigosindia,4.5,delhi,706.0,"1-star hotel,Breakfast,Free Wi-Fi,Paid parking,Air conditioning,Pet-friendly,Restaurant,Kitchen,Airport shuttle"
Holiday Inn Express New Delhi Int'l Airport T3,4.2,delhi,14081.0,"3-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Fitness center,Spa,Paid parking,Bar,Restaurant"
"Welcomhotel By ITC Hotels, Dwarka, New Delhi - Contemporary Hotel in the Capital | Ideal for Business & Leisure Travellers",4.5,delhi,10195.0,"5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar"
Treebo Trend Lazystay Grand - Hotel in Bhubaneswar,4.1,bhubaneswar,2920.0,"Free breakfast,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Kitchen,Full-service laundry,0"
"MAYFAIR Convention, Bhubaneswar",4.5,bhubaneswar,6476.0,"4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Hot tub,Air conditioning,Fitness center,Spa,Bar"
Hello Stay Hotel Bhubaneswar,4.2,bhubaneswar,1231.0,"Breakfast,Free Wi-Fi,Paid parking,Air conditioning,Kitchen,Airport shuttle,Full-service laundry,Kid-friendly,0"
Hotel SJ Pride,4.8,bhubaneswar,1239.0,"2-star hotel,Free Wi-Fi,Pool,Restaurant,Kitchen,Airport shuttle,Full-service laundry,0,0"
Empires Hotel Bhubaneswar,4.1,bhubaneswar,3646.0,"3-star hotel,Breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Fitness center,Spa,Bar"
"MAYFAIR Convention, Bhubaneswar",4.5,bhubaneswar,5975.0,"4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Hot tub,Air conditioning,Fitness center,Spa,Bar"
"Mango Hotels–Prangan, Bhubaneswar",4.1,bhubaneswar,3126.0,"3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle"
Mayfair Lagoon,4.6,bhubaneswar,10779.0,"5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa"
Venus Inn Restaurant,4.1,bhubaneswar,1948.0,"4-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Kid-friendly"
Ginger Bhubaneshwar,3.9,bhubaneswar,2959.0,"2-star hotel,Free Wi-Fi,Paid parking,Air conditioning,Fitness center,Breakfast,Full-service laundry,Kid-friendly,0"
THE GREENSTAR INN PREMIUM,4.6,bhubaneswar,1512.0,"Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Kitchen,0"
IRA By Orchid Bhubaneswar ( Formerly Vits Bhubaneswar ),4.1,bhubaneswar,3782.0,"4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service"
Swosti Premium - Luxury 5-Star Hotel in Bhubaneswar,4.3,bhubaneswar,6215.0,"5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant"
"Vivanta Bhubaneswar, DN Square",4.6,bhubaneswar,9089.0,"5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa"
"Welcomhotel By ITC Hotels, Bhubaneswar-LEED Platinum Certified Premium Hotel Near the Airport| 1.5 hrs away from Puri",4.7,bhubaneswar,7616.0,"4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar"
Hotel Excellency (A Unit of Excellency Resorts Pvt. Ltd.),4.1,bhubaneswar,3395.0,"4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant"
Super OYO Townhouse 235 Swain Heritage,4.4,bhubaneswar,2044.0,"Apartment,Sleeps 4,2 bedrooms,Air conditioning,Cable TV,Free Wi-Fi,No airport shuttle,No beach access,No elevator"
Treebo Trend Oasis,4.2,bhubaneswar,2854.0,"3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Kitchen,Full-service laundry"
IRA By Orchid Bhubaneswar ( Formerly Vits Bhubaneswar ),4.1,bhubaneswar,4367.0,"4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service"
The Westin Goa,4.6,goa,20650.0,"5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar"
The LaLiT Golf & Spa Resort Goa,4.4,goa,16756.0,"5-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa"
Casa Seaesta Beach Cottages and Suites,3.6,goa,2466.0,"Sleeps 6,2 bedrooms,Air conditioning,Airport shuttle,Pool,Smoke-free,Free parking,Free Wi-Fi,No beach access"
Radisson Resort Goa Baga,4.8,goa,4397.0,"4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa"
W Goa,4.5,goa,7435.0,"5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa"
"The Hosteller Goa, Arpora",4.3,goa,1157.0,"Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,0,0,0"
Grand Hyatt Goa,4.6,goa,20307.0,"5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa"
Little India Beach Cottages,4.0,goa,6947.0,"House,Sleeps 10,5 bedrooms,5 bathrooms,Air conditioning,Pool,Free parking,Free Wi-Fi,No airport shuttle"
